0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
1.0,0.9924012,0.98822826,0.9865898,0.98544407,0.98354626,0.9834357,0.97470343,0.9323349,0.8905183,0.8928039,0.8854031,0.8910781,0.8706957,0.86605275,0.8628204,0.86122733,0.8607179,0.86033684,0.8553247,0.85545516,0.85421556,0.8492695,0.8499988,0.8475723,0.84095,0.84332585,0.84330875,0.8315971,0.8406175,0.8577223,0.8535043,0.8429824,0.84410834,0.8396272,0.8391314,0.8332272,0.82882196,0.82297206,0.88704246,0.9413235,0.93547565,0.94568974,0.8627065,0.7621434,0.8839441,0.9625885,0.96192366,0.96049094,0.9577168,0.9616195,0.96052265,0.9592107,0.95654166,0.95825446,0.9399831,0.85985386,0.8434318,0.8350757,0.83081824,0.8237258,0.9062993,0.95498216,0.95398915,0.9532264,0.95148194,0.9503997,0.93785614,0.94545215,0.90683764,0.91384065,0.91247344,0.9194269,0.9232122,0.8629278,0.8548188,0.85270953,0.84906244,0.84463745,0.84306276,0.8390319,0.8368514,0.833738,0.83360827,0.8315031,0.8245485,0.81709063,0.80621994,0.89537823,0.92634493,0.92574257,0.9254091,0.9264591,0.9239131,0.929889,0.9169341,0.82603776,0.8177844,0.82881635,0.8420169,0.7739323,0.7544532,0.8909923,0.88696617,0.8867749,0.8876961,0.88607806,0.88526046,0.8791359,0.8837767,0.878145,0.9529104,0.95843184,0.9596825,0.9624961,0.9569467,0.95654684,0.95360416,0.9542854,0.9493941,0.9101778,0.8303983,0.81724656,0.8093033,0.80043256,0.78238386,0.84158653,0.82653856,0.8174838,0.8076504,0.8003095,0.7864476,0.8485941,0.838545,0.8330436,0.8279963,0.8393661,0.8809689,0.84335893,0.7758015
0.9924012,1.0,0.9961746,0.9947548,0.9936799,0.99238354,0.9901291,0.9859461,0.9358341,0.8928719,0.89759797,0.8914648,0.89924973,0.8804313,0.8770423,0.8731383,0.8719134,0.87083596,0.8719327,0.86592144,0.86712176,0.86516094,0.8594699,0.8613242,0.85775715,0.850848,0.854365,0.8532087,0.8420743,0.84989905,0.87197286,0.8687409,0.85708344,0.85906273,0.8550591,0.8539033,0.8490002,0.8438089,0.8377227,0.89816266,0.9437537,0.93852115,0.9492246,0.86687934,0.7657284,0.8876923,0.96858215,0.96825504,0.9655744,0.9637804,0.96750444,0.9665863,0.96543163,0.96333045,0.96240103,0.9472048,0.86577165,0.85021156,0.8404327,0.83721095,0.8306487,0.9115284,0.96180105,0.9605881,0.9592073,0.9582006,0.9568055,0.94635934,0.9502344,0.9060745,0.912958,0.9129565,0.92107606,0.9284406,0.8758619,0.8688785,0.86560786,0.8622026,0.8571442,0.85716414,0.852783,0.85100746,0.8471541,0.84534794,0.84400034,0.8380486,0.82739186,0.8177712,0.9036087,0.93077874,0.9307256,0.9317629,0.9315263,0.92951256,0.93558586,0.9265211,0.8415847,0.8324984,0.84057266,0.84050804,0.7762933,0.7613481,0.8946206,0.8913422,0.89111626,0.8916883,0.89198864,0.89018303,0.88385475,0.8887903,0.88364154,0.95246696,0.9569356,0.9593117,0.96223193,0.9578763,0.9574553,0.9542781,0.9559232,0.9519429,0.9149723,0.84123373,0.82858723,0.82101405,0.8120615,0.79330045,0.8538711,0.8374357,0.82938564,0.81982255,0.8109158,0.7959966,0.8628268,0.85367966,0.8478214,0.8430151,0.85259855,0.8757314,0.83919364,0.77642554
0.98822826,0.9961746,1.0,0.9965786,0.9957509,0.9954322,0.9930525,0.99002033,0.94029564,0.8965692,0.90300745,0.89848,0.9043076,0.88704026,0.88290596,0.87876177,0.877481,0.87551546,0.8776398,0.8705219,0.8719788,0.8693591,0.8633744,0.8662191,0.86117035,0.8543675,0.8581191,0.85726845,0.84451306,0.85128814,0.881431,0.87823606,0.86672044,0.86909235,0.8655692,0.86376536,0.8589589,0.85389173,0.84823495,0.90464926,0.9432818,0.9388863,0.9509874,0.8690264,0.766958,0.88943446,0.9707746,0.9713137,0.968715,0.96767706,0.9713154,0.9713755,0.970274,0.96813077,0.9672123,0.9532007,0.8722218,0.85756695,0.8469242,0.84431434,0.8364446,0.9169331,0.96657425,0.9657653,0.9645148,0.9647324,0.96287256,0.95309925,0.9562311,0.9000254,0.90805066,0.90775645,0.91736126,0.92817384,0.8850718,0.8778083,0.8738533,0.87123543,0.86612034,0.8658782,0.8611443,0.85902387,0.8545035,0.8515575,0.84937763,0.8445575,0.8300893,0.8199545,0.90594375,0.9348277,0.93450934,0.9368273,0.9365087,0.93481493,0.9412731,0.93404794,0.8514439,0.8407513,0.843983,0.83815354,0.7774769,0.7650477,0.89676476,0.8936948,0.89435154,0.8937837,0.8965543,0.8938806,0.8866037,0.8938414,0.89034426,0.9491975,0.9496518,0.9522737,0.9552472,0.9514751,0.95127106,0.94886565,0.9510138,0.9472928,0.91290176,0.84189785,0.8279581,0.82021904,0.8113276,0.7940372,0.85903746,0.8439727,0.8369317,0.8256831,0.81470805,0.7989168,0.8738271,0.8645117,0.85901904,0.85461855,0.86284226,0.8700256,0.8365968,0.7756828
0.9865898,0.9947548,0.9965786,1.0,0.99656683,0.9967481,0.9946616,0.99145406,0.9405836,0.896885,0.9029761,0.8991982,0.9079319,0.89024556,0.8868412,0.88341737,0.88165855,0.8796633,0.8819862,0.87498826,0.8762469,0.8738208,0.86780673,0.87084806,0.86521757,0.85943025,0.8626572,0.8623084,0.8492682,0.8560425,0.8849783,0.88198596,0.8708189,0.87292624,0.8698902,0.86821336,0.8630507,0.8586346,0.8531999,0.9094232,0.94307315,0.93866503,0.9533359,0.8745701,0.77370185,0.8939384,0.9705374,0.9710912,0.96925116,0.9682323,0.9718613,0.97152054,0.9710598,0.96936077,0.9686774,0.9538359,0.87079626,0.8569602,0.8462878,0.8433142,0.8353115,0.91680783,0.96681607,0.9653266,0.96488774,0.9655545,0.96526897,0.9560306,0.95886433,0.89888656,0.9080938,0.9074021,0.9171896,0.9289013,0.8885361,0.8822677,0.8781361,0.8749036,0.8710555,0.8699472,0.865573,0.86344826,0.8584021,0.8555818,0.8535382,0.84882915,0.83450896,0.8244097,0.90857834,0.9346395,0.9348998,0.9371393,0.9369293,0.9362078,0.942024,0.93665206,0.8554033,0.8448949,0.8479898,0.83971924,0.7811913,0.76960826,0.89614093,0.8932063,0.89383644,0.8932668,0.8977416,0.89458203,0.8876605,0.89489925,0.89178497,0.9501023,0.9478754,0.950787,0.95380104,0.95012546,0.9501277,0.9477221,0.9510762,0.94800556,0.9149761,0.8443259,0.8303509,0.8230861,0.814374,0.7986106,0.8613635,0.8466612,0.840736,0.8288782,0.8180425,0.8032542,0.8769547,0.86795974,0.8628722,0.8587551,0.8674466,0.8732816,0.8398613,0.7818671
0.98544407,0.9936799,0.9957509,0.99656683,1.0,0.9967863,0.9940581,0.9927913,0.94413,0.90144426,0.9084829,0.9047793,0.91246605,0.89494544,0.8914235,0.8873552,0.88651574,0.88470274,0.8866306,0.8795085,0.8811444,0.8786575,0.8731141,0.87560886,0.8695626,0.8646453,0.868245,0.86691374,0.8544925,0.86177516,0.8909929,0.8878228,0.87663174,0.87901884,0.87620014,0.874035,0.8694806,0.86506367,0.85979664,0.9143346,0.94439924,0.94124484,0.95491904,0.879515,0.77938557,0.8979042,0.97218394,0.97204435,0.97090137,0.969637,0.97352755,0.97395,0.9736755,0.97189933,0.9722338,0.95809275,0.8747303,0.8609798,0.8503732,0.848035,0.8403653,0.92042875,0.96805704,0.9675565,0.96699506,0.9679647,0.9677891,0.9601971,0.9626735,0.9003033,0.90996444,0.9103272,0.9203834,0.933023,0.8946,0.8877046,0.8838328,0.8807845,0.87653565,0.8758755,0.87122446,0.8689892,0.86432934,0.8623447,0.8595925,0.85455704,0.8406748,0.8305132,0.91341615,0.93661195,0.9371862,0.9396357,0.9395071,0.93896514,0.9455087,0.94026303,0.8608771,0.8518779,0.85417366,0.84056985,0.7850615,0.7749903,0.8998465,0.8966713,0.89783144,0.89715207,0.90147656,0.89917004,0.89201343,0.8994782,0.8964281,0.9529401,0.94943154,0.9533531,0.95545304,0.9530453,0.9531765,0.951432,0.9547297,0.95176214,0.92063475,0.85154074,0.83833826,0.83064836,0.8220043,0.8060398,0.8683306,0.85394686,0.8463162,0.8352109,0.8246368,0.8092504,0.882958,0.87408775,0.8687369,0.8640647,0.8724343,0.87475336,0.8432546,0.7863317
0.98354626,0.99238354,0.9954322,0.9967481,0.9967863,1.0,0.9954825,0.9945788,0.94631183,0.90467674,0.91095597,0.9080682,0.91490674,0.8983705,0.89482206,0.89081883,0.88986665,0.8876133,0.89006996,0.8831084,0.8844847,0.88229257,0.8762466,0.87912744,0.8731082,0.8681482,0.871434,0.87083817,0.85835886,0.86492616,0.8941839,0.8917457,0.8801824,0.8825686,0.88020533,0.8782297,0.8728264,0.8687961,0.86403364,0.9171127,0.94394195,0.9408343,0.9556744,0.8821224,0.7817799,0.899313,0.97076094,0.971329,0.97032267,0.96941674,0.9731298,0.97437453,0.9735924,0.9721614,0.9719752,0.9593166,0.87567437,0.86328197,0.85222554,0.8498872,0.8419293,0.9224376,0.96803725,0.96748996,0.9669533,0.96902096,0.968999,0.96165574,0.9644598,0.89938676,0.9094903,0.90952504,0.91980517,0.9346323,0.89858305,0.8918948,0.8883833,0.88503104,0.8814677,0.8801196,0.87578213,0.8736454,0.8687514,0.86597365,0.86397856,0.8591376,0.8451742,0.83421147,0.9160966,0.93766457,0.93793166,0.9414086,0.94138026,0.9415737,0.947776,0.9441294,0.86536545,0.8552234,0.857395,0.83900017,0.78562665,0.7766562,0.90114665,0.898847,0.90004224,0.899143,0.9044529,0.9014049,0.8939222,0.9020002,0.89976686,0.9520027,0.9462205,0.949551,0.95302576,0.94998807,0.9504626,0.9493917,0.952562,0.9510031,0.9214393,0.8529853,0.83909315,0.8318756,0.82318103,0.8090293,0.87178755,0.8580647,0.8516698,0.8401097,0.82916224,0.81441647,0.888491,0.8792628,0.87471133,0.870053,0.8783121,0.8723822,0.8426235,0.78741884
0.9834357,0.9901291,0.9930525,0.9946616,0.9940581,0.9954825,1.0,0.99336445,0.9474127,0.90647274,0.91255844,0.909542,0.91759086,0.9009005,0.8967702,0.89305484,0.89147484,0.89009833,0.89168084,0.8854702,0.88586664,0.884084,0.8780068,0.8816286,0.8752431,0.8707342,0.87407154,0.8735321,0.8606512,0.8684569,0.89817333,0.8951801,0.8850873,0.8863498,0.8834114,0.88214433,0.8766282,0.8727976,0.86888266,0.9213714,0.94411606,0.9411827,0.956225,0.89186656,0.79503626,0.9073112,0.9704654,0.9714814,0.9712657,0.9716042,0.9743074,0.9745705,0.97468144,0.9733918,0.97512937,0.96117216,0.8783134,0.8653068,0.85573936,0.8529322,0.84503365,0.9244105,0.9662011,0.96582067,0.96555704,0.96821064,0.96870464,0.9600326,0.96511626,0.8980613,0.90838903,0.90750074,0.9187872,0.9351322,0.9013712,0.89533806,0.89131296,0.8885283,0.8848394,0.8829311,0.87888,0.8775306,0.8715778,0.8703314,0.86790633,0.8630086,0.8494155,0.8389484,0.9184847,0.9357488,0.93591994,0.9395028,0.94014436,0.94089,0.94658947,0.9443755,0.8683711,0.8591692,0.8618186,0.8419503,0.79096186,0.78356516,0.9012279,0.89935267,0.9002261,0.9000037,0.9050018,0.9017032,0.895403,0.90378803,0.9021013,0.95316833,0.9473619,0.9502024,0.95392686,0.9503182,0.9512352,0.95044154,0.9537958,0.9515684,0.9252733,0.8578787,0.8439323,0.8372935,0.82901156,0.8149464,0.8747668,0.8611001,0.8549714,0.84420735,0.8345168,0.8195996,0.89126986,0.8823743,0.87823224,0.8738261,0.8827727,0.88050246,0.8521255,0.7983918
0.97470343,0.9859461,0.99002033,0.99145406,0.9927913,0.9945788,0.99336445,1.0,0.9489864,0.9093766,0.91649294,0.9157798,0.921114,0.9050056,0.90205765,0.8986598,0.897621,0.89625716,0.8981816,0.8914441,0.89305204,0.8910994,0.88525796,0.8887875,0.88179016,0.878587,0.88182175,0.88080853,0.86896884,0.8767893,0.9037701,0.9017079,0.89037025,0.89285827,0.8906971,0.88886935,0.8834276,0.87962407,0.8755754,0.9249263,0.9397932,0.9388638,0.9550877,0.8920423,0.7953337,0.90576696,0.96539754,0.96636605,0.9667859,0.9664891,0.9697751,0.97213644,0.97289866,0.9714986,0.97251636,0.96312636,0.8813887,0.8696204,0.85959655,0.8583357,0.85146284,0.9269646,0.96484154,0.9650531,0.9648974,0.96864766,0.9702107,0.96316,0.96715236,0.89554197,0.90753603,0.9087119,0.92106557,0.94042206,0.9091049,0.90295655,0.89888227,0.8955412,0.8925649,0.8915935,0.8882493,0.88591576,0.8811741,0.8791683,0.8772756,0.8730923,0.8596788,0.8496958,0.9236851,0.9333412,0.9346219,0.93946576,0.93992746,0.9415475,0.94831806,0.9478879,0.8753415,0.8670504,0.86957395,0.83657885,0.7912271,0.7861363,0.9041792,0.9033599,0.90501064,0.9049726,0.9107815,0.90875566,0.9027717,0.9108976,0.909735,0.95308673,0.94393873,0.94855165,0.9520473,0.9509756,0.9519417,0.9519473,0.95613325,0.95628554,0.9315347,0.8670546,0.85432696,0.8473519,0.83880585,0.82522905,0.88301873,0.8700071,0.8634209,0.85371816,0.84298885,0.8282024,0.89847445,0.8898035,0.8855478,0.88056064,0.8880111,0.8722397,0.8480762,0.79814893
0.9323349,0.9358341,0.94029564,0.9405836,0.94413,0.94631183,0.9474127,0.9489864,1.0,0.987122,0.9882202,0.9840028,0.93108094,0.9089711,0.9039861,0.89994806,0.89796615,0.89810795,0.8979213,0.8930401,0.89243317,0.89263093,0.8861983,0.8882615,0.88307226,0.8794416,0.8817225,0.88008624,0.86859274,0.87852806,0.9110559,0.9055256,0.8967148,0.89678293,0.89478004,0.89237654,0.8856724,0.8829682,0.87869257,0.91895545,0.9176061,0.9167192,0.93576777,0.9033499,0.80833066,0.9049939,0.95115083,0.9494636,0.95313865,0.9529544,0.9560941,0.95954484,0.9594188,0.9590807,0.9604899,0.96049905,0.8887306,0.8821968,0.874146,0.87425005,0.86631036,0.93409824,0.94691247,0.94952214,0.94851696,0.9533259,0.954172,0.94597197,0.95865256,0.90142655,0.9143139,0.91374105,0.92552733,0.94265914,0.909273,0.8986242,0.8959708,0.8916039,0.8868967,0.88481766,0.8820475,0.8789581,0.8727927,0.87141174,0.8694697,0.86272573,0.85199714,0.8393405,0.92021346,0.93608695,0.93666947,0.9422622,0.9458108,0.94888675,0.9547223,0.95519,0.8753637,0.8657783,0.8685284,0.84191275,0.8209082,0.803959,0.97834873,0.9778867,0.9781573,0.9763823,0.9804027,0.9779241,0.9748117,0.9791542,0.97545767,0.9717657,0.9302235,0.9322673,0.9371463,0.9361526,0.93873143,0.9417959,0.94238055,0.944916,0.93576086,0.8737102,0.86015725,0.8528303,0.84374297,0.83129156,0.8841861,0.87065434,0.8618447,0.8525497,0.84268296,0.82858783,0.902122,0.89283067,0.88475925,0.87756604,0.88569975,0.86814237,0.8814544,0.81778425
0.8905183,0.8928719,0.8965692,0.896885,0.90144426,0.90467674,0.90647274,0.9093766,0.987122,1.0,0.99382377,0.9901184,0.9153248,0.89159757,0.8870924,0.88259864,0.88045096,0.8816566,0.8807839,0.8771664,0.8753938,0.8763185,0.86956596,0.8721956,0.86702937,0.8640419,0.86606014,0.86377716,0.8543206,0.86364293,0.89522684,0.88805795,0.8796272,0.8799817,0.87835443,0.8762396,0.8694957,0.866766,0.8631872,0.8988257,0.8881705,0.88749206,0.90758884,0.8812133,0.7904318,0.8799896,0.91894203,0.91576624,0.9222298,0.92299,0.9252781,0.92779505,0.92854756,0.9289923,0.9324852,0.93459034,0.870115,0.8666294,0.85925585,0.85981095,0.85234356,0.9143455,0.91672117,0.921032,0.91995716,0.92582077,0.9261652,0.9188648,0.93381476,0.88154113,0.89511776,0.8954134,0.90697193,0.9233711,0.8910674,0.8790848,0.8779128,0.8726708,0.8681513,0.865843,0.8634419,0.85989165,0.853348,0.8533589,0.85099864,0.84474164,0.8365782,0.8225232,0.8999595,0.9142283,0.91388875,0.9211048,0.9261777,0.930392,0.93433243,0.93527365,0.8556825,0.8458989,0.8491603,0.8104141,0.8021514,0.7827704,0.9799425,0.9797559,0.9810802,0.97788644,0.9817495,0.98108375,0.9773001,0.9794689,0.977176,0.95195127,0.90014035,0.9032538,0.9081457,0.9084511,0.91167086,0.9163123,0.91475946,0.9189059,0.91692376,0.861815,0.8490689,0.841743,0.8330011,0.8214225,0.8651895,0.8538308,0.8437642,0.8366115,0.82713753,0.81307745,0.88357383,0.8744874,0.86662805,0.85820496,0.8661852,0.8386535,0.8662985,0.8030484
